CountryName,Year,SuicideRate,GDP_PerCapita
Central African Republic,2010,9.5,487.9453833
Chad,2010,8.7,891.6988174
Chile,2010,12.2,12808.03459
China,2010,10.9,4550.453596
Colombia,2010,7.2,6326.549469
Comoros,2010,6.6,1315.214806
Costa Rica,2010,8.6,8141.913599
Croatia,2010,18.6,13937.14227
Cuba,2010,14.4,5730.354775
Cyprus,2010,5.7,30818.47993
Denmark,2010,12.7,58041.39844
Djibouti,2010,5.2,1343.26873
Dominican Republic,2010,8,5568.046676
Ecuador,2010,8.5,4633.590358
El Salvador,2010,10.8,2983.229771
Equatorial Guinea,2010,16.7,17272.00977
Estonia,2010,18.3,14638.60482
Eswatini,2010,11.9,4168.505062
Ethiopia,2010,7.3,341.5541149
Fiji,2010,4.8,3652.527437
Finland,2010,18.9,46202.41516
France,2010,20.2,40638.334
Gabon,2010,6.9,8840.730664
Georgia,2010,6.9,3073.524753
Germany,2010,13.7,41785.55691
Ghana,2010,4.7,1298.436952
Greece,2010,3.3,26917.75898
Grenada,2010,0.9,7257.756622
Guatemala,2010,2.9,2825.519029
Guinea,2010,6.6,672.4244026
Guinea-Bissau,2010,4.2,557.6321326
Guyana,2010,26.8,3033.247725
Haiti,2010,10.2,665.6274195
Honduras,2010,2.5,1891.157395
Hungary,2010,26,13092.23376
Iceland,2010,13.3,43024.92384
India,2010,16.5,1357.563701
Indonesia,2010,3.6,3122.362815
Iraq,2010,2.8,4657.280426
Ireland,2010,12,48715.17686
Israel,2010,7.3,30659.12775
Italy,2010,7.5,35849.3732
Jamaica,2010,2,4696.841894
Japan,2010,24.4,44507.67639
Jordan,2010,2.8,3656.453675
Kazakhstan,2010,32.7,9070.488253
Kenya,2010,3.1,951.6879611
Kiribati,2010,14.5,1516.811869
Kuwait,2010,1.9,38577.38166
Latvia,2010,22.7,11326.21947
Lebanon,2010,3.2,7756.744069
Lesotho,2010,20.1,1183.42153
Liberia,2010,6.5,513.4456986
Libya,2010,5.4,12064.78069
Lithuania,2010,37.3,11984.86857
Luxembourg,2010,12.9,104965.3061
Madagascar,2010,4.3,412.7309341
Malawi,2010,3.8,478.6685897
Malaysia,2010,5.1,9040.566251
Maldives,2010,3.2,7076.662423
Mali,2010,4.8,709.5819646
Malta,2010,8,21087.79469
Mauritania,2010,3.9,1241.428756
Mauritius,2010,8.1,8000.376432
Mexico,2010,4.6,9271.398233
Mongolia,2010,16.6,2643.292914
Montenegro,2010,10.4,6682.281158
Morocco,2010,3.7,2839.925168
Mozambique,2010,5.6,431.5154715
Myanmar,2010,7.3,979.05163
Namibia,2010,10.4,5324.61704
Nepal,2010,10.5,592.4010975
Netherlands,2010,10,50950.03434
New Zealand,2010,13,33692.01083
Nicaragua,2010,12.5,1503.867544
Niger,2010,4.9,347.3430407
Nigeria,2010,10,2292.445156
Norway,2010,12.6,87770.26684
Oman,2010,3.7,19281.16563
Pakistan,2010,3.1,988.7541283
Panama,2010,5.1,8082.028459
Papua New Guinea,2010,5.4,1949.34856
Paraguay,2010,9.3,4355.934939
Peru,2010,4.6,5082.354757
Philippines,2010,3.3,2124.05677
Poland,2010,18.6,12599.53358
Portugal,2010,13.5,22538.65408
Qatar,2010,6.1,67403.1603
Romania,2010,14,8209.919456
Russia,2010,40,10674.9972
Rwanda,2010,7.5,576.049201
Samoa,2010,5,3458.188715
Sao Tome and Principe,2010,2,1094.710636
Saudi Arabia,2010,3.4,19262.54768
Senegal,2010,6.9,1278.977754
Serbia,2010,15.9,5735.422857
Seychelles,2010,9.4,10804.68447
Sierra Leone,2010,9.2,401.8350014
Singapore,2010,10,47236.96023
Slovenia,2010,20.7,23437.47202
Solomon Islands,2010,5.8,1290.398779
South Africa,2010,12.2,7328.593646
Spain,2010,7,30736.62785
Sri Lanka,2010,19.1,2799.648876
Sudan,2010,8,1489.876911
Suriname,2010,27,8255.796859
Sweden,2010,15.3,52132.91853
Switzerland,2010,16.2,74605.72102
Tajikistan,2010,2.5,749.552711
Thailand,2010,14.3,5076.342992
Timor-Leste,2010,5.3,3656.952175
Togo,2010,9.5,533.508792
Tonga,2010,3.6,3553.220614
Trinidad and Tobago,2010,14.5,16683.35538
Tunisia,2010,3.6,4141.976353
Turkey,2010,8.4,10672.38925
Turkmenistan,2010,7.6,4439.200382
Uganda,2010,10.5,622.4988457
Ukraine,2010,27.1,2965.142365
United Arab Emirates,2010,3,33893.30351
United Kingdom,2010,7.8,39079.84261
United States of America,2010,13.2,48466.82338
Uruguay,2010,16.6,11992.01663
Uzbekistan,2010,6,1377.08214
Vanuatu,2010,5.1,2966.857116
Zambia,2010,6.3,1489.45907
Zimbabwe,2010,11.9,948.3318545
Albania,2015,6,3952.830781
Algeria,2015,3.2,4177.888966
Angola,2015,5,4166.979684
Antigua and Barbuda,2015,0.8,14526.58808
Argentina,2015,8.8,13789.06042
Armenia,2015,7,3607.296697
Australia,2015,13.8,56748.42026
Austria,2015,16,44176.67174
Azerbaijan,2015,2.7,5500.320497
Bahrain,2015,5.9,22688.9444
Bangladesh,2015,6.1,1248.453398
Barbados,2015,0.7,16066.4718
Belarus,2015,26.3,5949.106307
Belgium,2015,20.1,40441.05204
Belize,2015,4.8,4883.179011
Benin,2015,9.9,783.9630778
Bhutan,2015,11.6,2829.891245
Bosnia and Herzegovina,2015,8.9,4727.277546
Botswana,2015,9.7,6799.875234
Brazil,2015,6.5,8814.000987
Brunei Darussalam,2015,4.5,31164.56203
Bulgaria,2015,11.4,6993.783483
Burkina Faso,2015,7.7,575.3144542
Burundi,2015,8.9,305.5497728
Cabo Verde,2015,11,3043.013984
Cambodia,2015,5.3,1162.90492
Cameroon,2015,12.3,1326.969277
Canada,2015,12.5,43495.05439
Central African Republic,2015,8.1,380.4042935
Chad,2015,8.9,775.7075235
Chile,2015,10.9,13574.1715
China,2015,9.6,8033.388043
Colombia,2015,8.3,6175.87603
Comoros,2015,6.8,1271.057042
Costa Rica,2015,7.9,11299.13618
Croatia,2015,17.8,11780.13124
Cuba,2015,13.7,7694.01192
Cyprus,2015,4.9,23217.48415
Denmark,2015,11.9,53254.856
Djibouti,2015,6.4,1787.4775
Dominican Republic,2015,9.7,6691.71692
Ecuador,2015,9.6,6124.491643
El Salvador,2015,14,3705.577946
Equatorial Guinea,2015,16.5,11278.92894
Estonia,2015,15.8,17412.44867
Eswatini,2015,13.1,3641.408583
Ethiopia,2015,7.2,639.3043597
Fiji,2015,5,5390.745258
Finland,2015,14.4,42494.65662
France,2015,18,36613.37522
Gabon,2015,7.3,7381.746749
Georgia,2015,8.1,3756.383768
Germany,2015,13.8,41394.65816
Ghana,2015,5.3,1766.005701
Greece,2015,4.8,18167.77372
Grenada,2015,1.1,9096.870646
Guatemala,2015,3.1,3923.573344
Guinea,2015,6.4,769.2560137
Guinea-Bissau,2015,3.9,603.1585129
Guyana,2015,29.1,4166.134826
Haiti,2015,11.7,815.7282844
Honduras,2015,2.8,2286.200039
Hungary,2015,20.3,12503.68207
Iceland,2015,14,52428.59576
India,2015,16.5,1605.605431
Indonesia,2015,3.4,3331.695128
Iraq,2015,3.1,4989.803075
Ireland,2015,11.5,61995.42278
Israel,2015,5,35855.27504
Italy,2015,8,30170.5166
Jamaica,2015,2.1,4892.897447
Japan,2015,19.4,34524.46986
Jordan,2015,2.9,4097.411436
Kazakhstan,2015,24.9,10510.77189
Kenya,2015,3.1,1336.883349
Kiribati,2015,14.5,1542.57525
Kuwait,2015,2.3,29869.52939
Latvia,2015,21.6,13639.69412
Lebanon,2015,3.3,7649.832611
Lesotho,2015,21,1219.177853
Liberia,2015,6.5,710.3838577
Libya,2015,4.2,4337.919139
Lithuania,2015,34.9,14291.90642
Luxembourg,2015,14.7,100428.368
Madagascar,2015,4,402.0883118
Malawi,2015,3.6,380.5970331
Malaysia,2015,5.4,9799.367531
Maldives,2015,2.6,9033.390413
Mali,2015,4.8,751.1704966
Malta,2015,8,24046.27535
Mauritania,2015,4.3,1194.312515
Mauritius,2015,8.5,9260.447303
Mexico,2015,5.6,9605.952351
Mongolia,2015,13.1,3918.579174
Montenegro,2015,10,6514.272695
Morocco,2015,2.9,2875.257985
Mozambique,2015,4.9,547.2380939
Myanmar,2015,7.6,1133.002816
Namibia,2015,9,5032.889762
Nepal,2015,9.1,792.5528906
Netherlands,2015,12.5,45175.23189
New Zealand,2015,12.1,38559.54704
Nicaragua,2015,12.2,2049.851415
Niger,2015,4.7,360.8533841
Nigeria,2015,9.6,2730.430324
Norway,2015,12.4,74521.56993
Oman,2015,4.1,16150.88726
Pakistan,2015,2.9,1356.667731
Panama,2015,3.9,13630.30797
Papua New Guinea,2015,6,2679.326711
Paraguay,2015,9.9,5406.703857
Peru,2015,4.9,6227.586716
Philippines,2015,3.2,2867.15199
Poland,2015,15.8,12572.32185
Portugal,2015,13.8,19252.63495
Qatar,2015,6.5,63039.01655
Romania,2015,11.6,8977.498544
Russia,2015,32.1,9313.787542
Rwanda,2015,6.8,728.0817574
Samoa,2015,4.5,4155.279353
Sao Tome and Principe,2015,2.3,1595.861423
Saudi Arabia,2015,3.2,20627.93278
Senegal,2015,6.2,1218.764246
Serbia,2015,15,5585.117808
Seychelles,2015,9.4,14745.34146
Sierra Leone,2015,9.3,588.2284527
Singapore,2015,9,55646.61875
Slovenia,2015,21,20887.51964
Solomon Islands,2015,4.9,1914.467926
South Africa,2015,11.8,5730.934174
Spain,2015,8.1,25817.38661
Sri Lanka,2015,14.8,3843.780672
Sudan,2015,8,2486.745659
Suriname,2015,23.8,8561.974179
Sweden,2015,15.7,50832.55271
Switzerland,2015,17.1,82081.59712
Tajikistan,2015,2.5,929.0958572
Thailand,2015,14.6,5840.046948
Timor-Leste,2015,4.6,2585.153878
Togo,2015,9.4,570.6807371
Tonga,2015,3.5,4320.63799
Trinidad and Tobago,2015,13.6,18332.49031
Tunisia,2015,3.4,3859.814436
Turkey,2015,7.3,10948.72461
Turkmenistan,2015,7.2,6432.680702
Uganda,2015,9.9,709.0210386
Ukraine,2015,23.1,2124.662666
United Arab Emirates,2015,2.8,38663.38381
United Kingdom,2015,8.7,44472.1517
United States of America,2015,15,56803.47243
Uruguay,2015,19.4,15613.76427
Uzbekistan,2015,7.4,2615.025134
Vanuatu,2015,4.5,2721.635936
Zambia,2015,6.1,1332.194321
Zimbabwe,2015,10.6,1445.071062
Albania,2020,6.3,4124.108543
Algeria,2020,3.2,3948.811897
Angola,2020,4.7,3506.072885
Antigua and Barbuda,2020,0.5,15494.30547
Argentina,2020,9.2,12790.24247
Armenia,2020,6.6,3591.829276
Australia,2020,13.2,50019.96777
Austria,2020,15.6,45103.32981
Azerbaijan,2020,2.6,3880.738731
